id,hip,proper,ra,dec,dist,mag,spect,x,y,z,ci
0,,Sol,0,0,0,-26.7,G2V,0.000005,0,0,0.656
32263,32349,Sirius,6.752481,-16.716116,2.6371,-1.44,A0m...,-0.494323,2.476731,-0.758485,0.009
30365,30438,Canopus,6.399195,-52.69566,94.7867,-0.62,F0Ib,-5.992679,57.132034,-75.396105,0.164
69451,69673,Arcturus,14.26103,19.18241,11.2575,-0.05,K2IIIp,-8.823448,-5.932531,3.698938,1.239
71456,71683,Rigil Kentaurus,14.660765,-60.833976,1.3248,-0.01,G2V,-0.495203,-0.414084,-1.156625,0.71
90979,91262,Vega,18.61564,38.783692,7.6787,0.03,A0Vvar,0.960565,-5.908009,4.809731,-0.001
24549,24608,Capella,5.27815,45.997991,13.1234,0.08,M1: comp,1.712633,8.954439,9.440007,0.795
24378,24436,Rigel,5.242298,-8.20164,264.5503,0.18,B8Ia,51.601106,256.709905,-37.740051,-0.03
37173,37279,Procyon,7.655033,5.224993,3.5142,0.4,F5IV-V,-1.469312,3.17617,0.320024,0.432
7574,7588,Achernar,1.628556,-57.236757,42.7533,0.45,B3Vp,21.065573,9.568417,-35.951967,1.673
27919,27989,Betelgeuse,5.919529,7.407063,152.6718,0.45,M2Ib,3.189296,151.364387,19.682142,0.212
68483,68702,Hadar,14.063729,-60.373039,120.1923,0.61,B1III,-50.954051,-30.56287,-104.478695,0.312
97338,97649,Altair,19.846388,8.868322,5.1295,0.76,A7IV-V,2.355468,-4.4873,0.790749,1.025
60530,60718,Acrux,12.443311,-63.099092,98.7167,0.77,B0.5IV,-44.363755,-5.171957,-88.034513,0.299
21368,21421,Aldebaran,4.598677,16.509301,20.4332,0.87,K5III,7.02722,18.287604,5.806661,0.246
118360,,,5.277926,46.000842,12.9383,0.96,G0 III,1.689045,8.828648,9.308413,1.67
65269,65474,Spica,13.419883,-11.161322,76.5697,0.98,B1V,-69.990853,-27.285826,-14.82176,0.031
80519,80763,Antares,16.490128,-26.432002,169.7793,1.06,M1Ib + B2.5V,-58.542602,-140.307591,-75.574766,1.752
37718,37826,Pollux,7.755277,28.026199,10.3584,1.16,K0IIIvar,-4.055465,8.19518,4.867171,1.002
113008,113368,Fomalhaut,22.960838,-29.622236,7.7036,1.17,A3V,6.450517,-1.799476,-3.807757,0.375
62239,62434,Becrux,12.795359,-59.688764,85.3971,1.25,B0.5III,-42.168771,-8.909619,-73.723149,0.037
101767,102098,Deneb,20.690532,45.280338,432.9004,1.25,A2Ia,197.250632,-232.113407,307.600832,1.025
71453,71681,,14.660346,-60.8383,1.3248,1.35,K1V,-0.495181,-0.413973,-1.156674,0.16
49528,49669,Regulus,10.139532,11.967207,24.3132,1.36,B7V,-21.018857,11.132218,5.041397,0.7
33492,33579,Adhara,6.977097,-28.972084,124.2236,1.5,B2II,-27.497987,105.141608,-60.171969,0.433
36744,36850,Castor,7.576634,31.888276,15.5958,1.58,A2Vm,-5.311938,12.130011,8.238737,0.393
60893,61084,Gacrux,12.519429,-57.113212,27.1518,1.59,M4III,-14.606901,-1.998688,-22.800748,0.594
85665,85927,Shaula,17.560145,-37.103821,175.1313,1.62,B1.5IV+...,-16.048583,-138.749793,-105.649898,0.249
25273,25336,Bellatrix,5.418851,6.349702,77.3994,1.64,B2III,11.658576,76.036136,8.56012,0.047
25364,25428,Alnath,5.438198,28.60745,41.0509,1.65,B7III,5.281578,35.6504,19.655456,0.169
45106,45238,Miaplacidus,9.220041,-69.717208,34.6981,1.67,A2IV,-8.980712,8.001552,-32.546536,1.319
26246,26311,Alnilam,5.603559,-1.20192,606.0606,1.69,B0Ia,62.775122,602.66691,-12.712683,1.602
108922,109268,Alnair,22.137209,-46.960975,30.9693,1.73,B7IV,18.672505,-9.904001,-22.635193,0.97
26662,26727,Alnitak,5.679313,-1.942572,225.7336,1.74,O9.5Ib SB,18.918488,224.809409,-7.651875,1.093
39840,39953,,8.158876,-47.336588,342.4658,1.75,WC8 + O9I,-124.300149,195.993257,-251.831601,0.124
62757,62956,Alioth,12.900472,55.959821,25.31,1.76,A0p,-13.775959,-3.309169,20.972944,1.006
15824,15863,Mirphak,3.405378,49.86118,155.2795,1.79,F5Ib,62.885098,77.880689,118.708804,0.111
89906,90185,Kaus Australis,18.402868,-34.384616,43.9367,1.79,B9.5III,3.817188,-36.057831,-24.812975,0.559
53905,54061,Dubhe,11.062155,61.751033,37.679,1.81,F7V comp,-17.298705,4.33488,33.191332,1.145
34354,34444,Wezen,7.139857,-26.3932,492.6108,1.83,F8Ia,-129.733458,421.761488,-218.979855,0.149
67088,67301,Alkaid,13.792354,49.313265,31.8674,1.85,B3V SB,-18.529548,-9.394541,24.164506,0.544
40921,41037,Avior,8.375236,-59.509483,185.5288,1.86,K3III+B2V,-54.83708,76.515238,-159.872623,1.317
85965,86228,Sargas,17.62198,-42.997824,92.081,1.86,F1II,-6.654055,-67.016643,-62.796539,0.438
28288,28360,Menkalinan,5.992149,44.947433,24.8694,1.9,A2V,0.036195,17.601288,17.569058,0.226
82022,82273,Atria,16.811077,-69.027715,119.7605,1.91,K2IIb-IIIa,-13.127447,-40.804561,-111.826781,0.172
31601,31681,Alhena,6.628528,16.399252,33.5121,1.93,A0IV,-5.266162,31.714389,9.461403,0.42
42794,42913,,8.745059,-54.708821,24.6975,1.93,A1V,-9.394033,10.739813,-20.158771,0.453
100425,100751,Peacock,20.427459,-56.73509,54.8246,1.94,B2IV,17.850262,-24.200974,-45.841245,0.6
11734,11767,Polaris,2.52975,89.264109,132.626,1.97,F7:Ib-IIv SB,1.3431,1.047629,132.614909,0.636
30251,30324,Mirzam,6.378329,-17.955918,151.0574,1.98,B1II/III,-14.209731,142.995999,-46.568852,0.221
46259,46390,Alphard,9.45979,-8.658603,55.2792,1.99,K3III,-43.003468,33.722848,-8.322089,0.197
9861,9884,Hamal,2.119555,23.462423,20.1776,2.01,K2III,15.731986,9.751722,8.03361,0.381
50440,50583,Algieba,10.332873,19.841489,39.8883,2.01,K0III,-34.002797,15.860719,13.53874,1.24
3413,3419,Diphda,0.72649,-17.986605,29.5334,2.04,K0III,27.583638,5.310463,-9.119792,0.571
92564,92855,Nunki,18.92109,-26.296722,69.8324,2.05,B2.5V,14.950858,-60.794062,-30.937099,1.016
68714,68933,Menkent,14.111395,-36.369954,18.0343,2.06,K0IIIb,-12.358808,-7.624204,-10.694288,0.406
676,677,Alpheratz,0.139791,29.090432,29.7442,2.07,B9p,25.974572,0.951042,14.461264,0.397
5436,5447,Mirach,1.162194,35.620558,60.5327,2.07,M0IIIvar,46.946371,14.741814,35.255129,0.432
27298,27366,Saiph,5.795941,-9.669605,198.4127,2.07,B0.5Iavar,10.444137,195.314937,-33.326707,1.625
72380,72607,Kochab,14.845105,74.155505,40.1445,2.07,K4IIIvar,-8.058164,-7.429707,38.619407,0.488
111768,112122,,22.711115,-46.884577,54.2594,2.07,M5III,34.993484,-12.277259,-39.608199,0.505
85769,86032,Rasalhague,17.582241,12.560035,14.8965,2.08,A5III,-1.587067,-14.453242,3.239454,1.312
14540,14576,Algol,3.136148,40.955648,27.571,2.09,B8V,14.189428,15.238793,18.072114,0.38
9618,9640,Almaak,2.064984,42.329725,120.4819,2.1,B8V,76.368059,45.840864,81.131974,1.639
57459,57632,Denebola,11.817663,14.57206,10.9999,2.14,A3Vvar,-10.633926,0.508011,2.767546,1.234
4417,4427,Cih,0.945143,60.71674,168.3502,2.15,B0IV:evar,79.836717,20.168018,146.837047,0.195
61739,61932,,12.691971,-48.959888,39.9042,2.2,A1IV,-25.771821,-4.720403,-30.097707,1.477
39318,39429,Naos,8.059737,-40.003148,332.2259,2.21,O5IAf,-130.674899,218.376203,-213.564535,0.73
45425,45556,Tureis,9.284838,-59.275229,234.7418,2.21,A8Ib,-90.887872,78.251756,-201.791538,1.107
76035,76267,Alphekka,15.578128,26.714693,23.0097,2.22,A0V,-12.176093,-16.558746,10.343974,0.437
44689,44816,,9.133268,-43.432589,166.9449,2.23,K4Ib-II,-88.662596,82.682121,-114.774841,0.2
65173,65378,Mizar,13.398747,54.925362,26.3089,2.23,A2V,-14.115808,-5.413302,21.531272,1.147
100128,100453,Sadr,20.370473,40.256679,561.7978,2.23,F8Ib,249.318228,-348.795593,363.040966,1.199
3172,3179,Shedir,0.675116,56.537331,69.979,2.24,K0II-IIIvar,37.984817,6.784483,58.379619,0.043
87561,87833,Etamin,17.943437,51.488895,47.3037,2.24,K5III,-0.436154,-29.451035,37.014357,0.913
25865,25930,Mintaka,5.533445,-0.299092,212.3142,2.25,O9.5II,25.868117,210.729667,-1.108306,0.553
744,746,Caph,0.152887,59.14978,16.7842,2.28,F2III-IV,8.600014,0.344589,14.409503,0.88
66447,66657,,13.664796,-53.466394,131.0616,2.29,B1III,-70.726493,-32.9381,-105.309044,0.593
78165,78401,Dschubba,16.005557,-22.62171,150.6024,2.29,B0.2IV,-69.332609,-120.492107,-57.928452,0.364
82144,82396,,16.83608,-34.293232,19.5351,2.29,K2IIIb,-4.842163,-15.39568,-11.006616,0.433
71634,71860,,14.698823,-47.3882,142.4501,2.3,B1.5III,-73.354913,-62.611867,-104.837277,0.972
71125,71352,,14.591786,-42.157824,93.7207,2.33,B1Vn + A,-54.086167,-43.605833,-62.903,0.509
53754,53910,Merak,11.030677,56.382427,24.4499,2.34,A1V,-13.103033,3.398358,20.360601,1.18
71879,72105,Izar,14.749784,27.074222,62.1118,2.35,A0,-41.582771,-36.462926,28.269741,1.767
106972,107315,Enif,21.736433,9.875011,211.4165,2.38,K2Ibvar,172.769915,-116.330918,36.25782,0.02
86403,86670,,17.708132,-39.029983,148.1481,2.39,B1.5III,-8.785101,-114.747994,-93.292778,1.068
2076,2081,Ankaa,0.438056,-42.305981,25.974,2.4,K0III...,19.083654,2.198282,-17.483284,0.56
57828,58001,Phad,11.897168,53.69476,25.5037,2.41,A0V SB,-15.094867,0.406425,20.552678,0.388
83755,84012,,17.172968,-15.72491,27.0929,2.43,A2.5Va,-5.602493,-25.470005,-7.342684,1.068
113521,113881,Scheat,23.062901,28.082789,60.0962,2.44,M2II-IIIvar,51.433435,-12.877612,28.290136,1.655
35806,35904,Aludra,7.401584,-29.303104,609.7561,2.45,B5Ia,-190.762166,496.337122,-298.432917,0.947
104861,105199,Alderamin,21.30963,62.585573,15.0376,2.45,A7IV-V,5.276111,-4.483201,13.348778,0.307
45809,45941,,9.368562,-55.010668,175.4386,2.47,B2IV,-77.65777,63.951481,-143.729782,0.707
102157,102488,Gienah,20.770178,33.970256,22.2916,2.48,K0III,12.262597,-13.834612,12.455654,0.83
113603,113963,Markab,23.079348,15.205264,40.8831,2.49,B9.5III,38.311434,-9.417123,10.722722,0.266
14100,14135,Menkar,3.037992,4.089734,76.3942,2.54,M2III,53.342561,54.414384,5.448321,0.933
81130,81377,,16.619316,-10.56709,112.2334,2.54,O9.5V,-39.017319,-103.200447,-20.582092,0.627
67786,68002,,13.925667,-47.288375,117.096,2.55,B2.5IV,-69.545858,-38.36753,-86.039492,0.242
54712,54872,Zosma,11.235138,20.523717,17.9147,2.56,A4V,-16.442201,3.337108,6.280742,1.599
78580,78820,Graffias,16.09062,-19.805453,123.9157,2.56,B0.5V,-55.881427,-102.320756,-41.98604,0.267
25920,25985,Arneb,5.545504,-17.822289,680.2721,2.58,F0Ib,76.877195,643.047236,-208.208,0.974
59016,59196,,12.13931,-50.722425,127.2265,2.58,B2IVne,-80.490795,-2.936809,-98.48459,0.297
59621,59803,Gienah Ghurab,12.263437,-17.541929,47.1032,2.58,B8III,-44.805937,-3.095058,-14.197066,0.241
93213,93506,,19.043532,-29.880105,27.0416,2.6,A3IV,6.326274,-22.577554,-13.471863,0.372
74556,74785,Zubeneschemali,15.283449,-9.382917,56.7537,2.61,B8V,-36.549398,-42.420251,-9.252607,0.476
76835,77070,Unukalhai,15.737798,6.425627,22.6757,2.63,K2III,-12.5786,-18.695648,2.537718,1.06
8884,8903,Sheratan,1.910668,20.808035,17.9856,2.64,A5V...,14.752622,8.063457,6.389157,0.238
26569,26634,Phakt,5.660817,-34.074108,80.1282,2.65,B7IV,5.885917,66.110037,-44.89318,1.581
28309,28380,,5.995351,37.212585,50.7614,2.65,A0p Si,0.049188,40.426416,30.69934,1.193
61166,61359,Kraz,12.573121,-23.396759,44.6628,2.65,G5II,-40.529889,-6.127261,-17.73539,0.695
6672,6686,Ruchbah,1.430216,60.235283,30.4785,2.66,A5Vv SB,14.082378,5.53413,26.457567,0.14
67711,67927,Mufrid,13.911411,18.397717,11.396,2.68,G0IV,-9.487671,-5.188142,3.596709,0.141
73046,73273,,14.975537,-43.13396,117.3709,2.68,B2III,-60.951955,-60.176134,-80.247234,1.239
22961,23015,Hassaleh,4.949894,33.16609,151.2859,2.69,K3IIvar,34.378539,121.884168,82.763748,0.208
52575,52727,,10.779488,-49.420255,35.9195,2.69,G5III SB,-22.183186,7.339648,-27.280949,0.102
61392,61585,,12.619739,-69.135564,96.7118,2.69,B2IV-V,-33.992375,-5.563974,-90.370102,0.457
85436,85696,,17.512732,-37.295811,176.6784,2.7,B2IV,-17.880984,-139.40881,-107.054828,0.403
35169,35264,,7.285711,-37.09747,247.5248,2.71,K3Ib,-65.206299,186.349551,-149.300305,1.731
89653,89931,Kaus Meridionalis,18.3499,-29.828103,106.6098,2.72,K3III,8.460232,-92.098382,-53.027575,0.165
96970,97278,Tarazed,19.770994,10.613261,121.0654,2.72,K3II,53.215608,-106.431852,22.297682,0.896
79352,79593,,16.239094,-3.694323,52.4659,2.73,M1III,-23.290749,-46.890988,-3.380547,0.415
80089,80331,,16.39986,61.514213,28.2326,2.73,G8III,-5.477258,-12.300885,24.814526,0.481
52268,52419,,10.715949,-64.39445,139.6648,2.74,B0Vp,-56.980945,19.910719,-125.948607,1.024
61748,61941,Porrima,12.694345,-1.449375,11.685,2.74,F0V+...,-11.488622,-2.111702,-0.295552,1.36
26176,26241,Hatsya,5.590551,-5.909901,714.2857,2.75,O9III,76.014147,706.411475,-73.54604,0.549
64904,65109,,13.343296,-36.712295,18.0213,2.75,A2V,-13.562569,-4.976416,-10.773082,0.3
72396,72622,Zubenelgenubi,14.847977,-16.041778,23.2396,2.75,A3IV,-16.408581,-15.151818,-6.421874,0.374
86475,86742,Cebalrai,17.724543,4.567303,25.0941,2.76,K2III,-1.802333,-24.949291,1.998237,0.8
23820,23875,Cursa,5.130829,-5.086446,27.3973,2.78,A3IIIvar,6.156194,26.585876,-2.429001,1.337
80571,80816,Kornephoros,16.503668,21.489613,42.6621,2.78,G8III,-15.155861,-36.689058,15.62843,0.323
84086,84345,Rasalgethi,17.244127,14.390333,110.2536,2.78,M5IIvar,-20.995512,-104.709944,27.400863,0.259
59565,59747,,12.252427,-58.748928,105.8201,2.79,B2IV,-54.778605,-3.62525,-90.466,1.272
85410,85670,Rastaban,17.507213,52.301387,116.5501,2.79,G2II,-9.169333,-70.678899,92.218765,0.28
76065,76297,,15.585681,-41.166757,129.0323,2.8,B2IV,-57.388809,-78.369378,-84.935884,1.818
25542,25606,Nihal,5.470756,-20.759441,49.1642,2.81,G5II,6.349344,45.531613,-17.425966,1.533
81444,81693,,16.688113,31.602726,10.7158,2.81,F9IV,-3.073152,-8.593139,5.615032,1.017
2016,2021,,0.427916,-77.254247,7.4588,2.82,G2IV,1.635267,0.184517,-7.275205,0.354
81020,81266,,16.598043,-28.216016,145.3488,2.82,B0V,-45.960032,-119.546841,-68.7205,1
90217,90496,Kaus Borealis,18.466179,-25.4217,23.9693,2.82,K1IIIb,2.635486,-21.487046,-10.289309,1.237
1065,1067,Algenib,0.220598,15.183596,120.048,2.83,B2IV,115.664183,6.687324,31.442127,0.538
39644,39757,,8.125737,-24.304324,19.4818,2.83,F2mF5IIp,-9.379037,15.076242,-8.018549,0.614
77716,77952,,15.919083,-63.430727,12.3778,2.83,F2III,-2.869157,-4.734869,-11.070637,0.281
18201,18246,,3.9022,31.883635,230.4147,2.84,B1Ib,102.130978,166.878316,121.704179,0.598
84999,85258,,17.421665,-55.529884,198.0198,2.84,K3Ib-II,-16.904234,-110.792345,-163.251778,0.579
85530,85792,,17.530695,-49.876145,81.9672,2.84,B2Vne,-6.473763,-52.424912,-62.676478,0.175
17661,17702,Alcyone,3.79141,24.105137,123.6094,2.85,B7III,61.664507,94.489136,50.483636,0.351
63405,63608,Vindemiatrix,13.036278,10.95915,33.6022,2.85,G8IIIvar,-31.782664,-8.840495,6.38806,0.354
107213,107556,,21.784011,-16.127286,11.8666,2.85,A5mF2 (IV),9.534405,-6.248606,-3.296196,1.057
118485,,,7.576827,31.89052,15.8053,2.85,A m,-5.383676,12.292323,8.349873,0.124
9217,9236,,1.979451,-61.569859,22.0119,2.86,F0V,9.103629,5.191033,-19.357346,0.961
96858,97165,,19.749574,45.13081,50.5817,2.86,B9.5III,15.779435,-32.006459,35.8481,0.893
30270,30343,,6.382673,22.513586,71.0227,2.87,M3IIIvar,-6.562116,65.281443,27.194957,-0.061
74717,74946,,15.315181,-68.679545,56.3698,2.87,A1V,-13.248562,-15.637336,-52.51191,-0.061
109784,110130,,22.308371,-60.259587,61.237,2.87,K3III,27.447381,-13.018072,-53.171301,0.172
13813,13847,Acamar,2.971023,-40.304672,49.4315,2.88,A4III+...,26.85749,26.453029,-31.974932,1.692
93846,94141,Albaldah,19.162731,-21.023615,156.25,2.88,F2II/III,43.714239,-139.143552,-56.055078,0.586
36087,36188,Gomeisa,7.452512,8.289315,49.5786,2.89,B8Vvar,-18.209817,45.556204,7.147858,0.991
62925,63125,Cor Caroli,12.933807,38.31838,35.1989,2.89,A0spe...,-26.795114,-6.684223,21.824384,1.535
78029,78265,,15.980865,-26.114105,179.5332,2.89,B1V + B2V,-81.301517,-139.203202,-79.023364,0.318
18485,18532,,3.96423,40.010215,195.6947,2.9,B0.5V,76.156467,129.09969,125.816858,0.23
79870,80112,,16.353143,-25.592796,213.6752,2.9,B1III,-80.536239,-175.075401,-92.301792,0.02
105936,106278,Sadalsuud,21.525982,-5.571172,164.7446,2.9,G0Ib,130.759282,-98.929336,-15.993766,-0.052
14292,14328,,3.079942,53.50644,74.5712,2.91,G8III+...,30.696986,32.009546,59.949578,-0.05
47866,48002,,9.785036,-65.072007,440.5286,2.92,A9,-155.321542,101.734428,-399.488275,1.155
111804,112158,Matar,22.716704,30.221245,65.703,2.93,G2II-III..,53.59916,-18.717064,33.070991,0.632
32682,32768,,6.832266,-50.61456,55.8036,2.94,K0III...,-7.654383,34.572281,-43.130564,1.355
60776,60965,Algorab,12.497739,-16.515432,26.6312,2.94,B9.5V,-25.316094,-3.317674,-7.57057,1.34
108728,109074,Sadalmelik,22.096399,-0.319851,160.5136,2.95,G2Ib,140.987693,-76.722268,-0.896054,0.687
18497,18543,Zaurak,3.967157,-13.508515,62.3441,2.97,M1IIIb Ca-1,30.760217,52.235828,-14.56308,0.328
26386,26451,,5.627413,21.142549,136.4256,2.97,B4IIIp,12.391949,126.637551,49.207351,0.136
47772,47908,Ras Elased Australis,9.764188,23.774255,75.643,2.97,G0II,-57.700126,38.244772,30.494289,0.257
88361,88635,Nash,18.096803,-30.424091,29.7,2.98,K0III,0.648969,-25.602281,-15.040072,0.092
64758,64962,,13.315359,-23.171512,41.0341,2.99,G8III,-35.509172,-12.735386,-16.146279,1.389
86804,87073,,17.793078,-40.126997,591.716,2.99,F3Ia,-24.497404,-451.772701,-381.351324,1.546
93452,93747,,19.090169,13.863478,25.4582,2.99,A0Vn,6.95881,-23.716532,6.099966,1.218
10041,10064,,2.159058,34.987297,38.8954,3,A5III,26.909766,17.068198,22.302471,0.471
54380,54539,,11.161062,44.498487,44.3066,3,K1III,-30.843315,6.88533,31.054046,-0.073
74868,75097,,15.345483,71.834016,149.2537,3,A3II-III,-29.797327,-35.741213,141.814461,-0.163
82263,82514,,16.864509,-38.04738,153.6098,3,B1.5IV + B,-35.43289,-115.66204,-94.671563,0.54
107742,108085,,21.898808,-37.364852,64.7249,3,B8III,43.853581,-26.892269,-39.28078,0.529
17316,17358,,3.715416,47.787551,158.2278,3.01,B5III SB,59.860731,87.855481,117.192812,0.898
30049,30122,,6.338553,-30.063367,111.1111,3.02,B2.5V,-8.512138,95.786306,-55.662081,-0.126
33888,33977,,7.050409,-23.833291,847.4576,3.02,B3Ia,-210.498109,746.064177,-342.438173,-0.034
59134,59316,,12.168746,-22.619766,97.4659,3.02,K2III,-89.88085,-3.973272,-37.486747,1.206
23361,23416,,5.032815,43.823308,653.5948,3.03,F0Ia,118.129799,456.518488,452.57303,0.17
62127,62322,,12.771346,-68.108119,104.712,3.04,B2V,-38.249334,-7.83061,-97.161472,-0.093
70851,71075,,14.534636,38.308253,26.6099,3.04,A7IIIvar,-16.449442,-12.860715,16.49506,-0.091
95648,95947,Albireo,19.512023,27.959681,133.1558,3.05,K3II+...,45.350466,-108.51838,62.430012,0.049
100020,100345,,20.350187,-14.781367,100.2004,3.05,A5:n,55.920163,-79.116953,-25.564218,0.134
32161,32246,,6.732202,25.131124,259.0674,3.06,A3mA6-A9,-44.684834,230.247724,110.023705,0.589
50655,50801,,10.372155,41.499516,70.6215,3.06,M0III SB,-48.161684,21.865099,46.794651,0.005
94081,94376,,19.209225,67.661541,29.8686,3.07,G9III,3.534238,-10.788301,27.627312,0.157
89364,89642,,18.293793,-36.761686,44.7427,3.1,M2III,2.754228,-35.738834,-26.777975,0.268
43689,43813,,8.92323,5.945563,51.2558,3.11,G8III-IV,-35.316755,36.765697,5.309278,0.697
52789,52943,,10.827079,-16.193648,44.0723,3.11,K0/K1III,-40.343946,12.793047,-12.291085,-0.04
56392,56561,,11.596363,-63.019841,128.7001,3.11,B9II:,-58.063196,6.158685,-114.692848,0.438
101445,101772,,20.626116,-47.291502,30.1477,3.11,K0III,12.976855,-15.802893,-22.152943,1.059
27559,27628,,5.849329,-35.768309,26.7308,3.12,K1.5III,0.855327,21.672805,-15.624858,1.606
44000,44127,,8.986828,48.041826,14.5096,3.12,A7IV,-6.835882,6.883318,10.789878,-0.002
82826,83081,,16.977006,-55.990141,149.0313,3.12,K5III,-22.05913,-80.386753,-123.53816,1.612
84121,84379,,17.250531,24.839204,23.0362,3.12,A3IVv SB,-4.075476,-20.503689,9.676738,0.008
73107,73334,,14.986025,-42.104194,117.5088,3.13,B2IV,-61.87283,-61.421692,-78.787457,0.934
45728,45860,,9.350925,34.392562,62.2665,3.14,M0IIIvar,-39.512346,32.846027,35.17204,0.189
46568,46701,,9.520371,-57.034377,73.2601,3.16,K5III,-31.754679,24.098313,-61.464914,0.443
84122,84380,,17.250788,36.809162,115.4734,3.16,K3IIvar,-18.017787,-90.679203,69.185936,-0.052
31605,31685,,6.629353,-43.195934,113.8952,3.17,B8III SB,-13.61885,81.907249,-77.960909,-0.022
46720,46853,,9.547715,51.6773,13.4789,3.17,F6IV,-6.693935,5.005096,10.57472,0.65
83638,83895,,17.146448,65.714683,100.7049,3.17,B6III,-9.178442,-40.388128,91.793254,0.625
91754,92041,,18.76094,-26.990778,73.3676,3.17,B8.5III,12.937936,-64.083559,-33.297761,0.185
23712,23767,,5.10858,41.234474,74.6269,3.18,B3V,12.978524,54.599524,49.18977,1.12
71682,71908,,14.708492,-64.975138,16.57,3.18,F1Vp,-5.319852,-4.563974,-15.014538,0.579
22396,22449,,4.830669,6.961276,8.0684,3.19,F6V,2.413721,7.63677,0.977904,1.472
23630,23685,,5.091018,-22.371032,65.4022,3.19,K4III,14.257014,58.775516,-24.89227,0.8
82745,83000,,16.961139,9.375033,28.0426,3.19,K2IIIvar,-7.432411,-26.650562,4.567947,-0.002
86991,87261,,17.830965,-37.043304,38.5802,3.19,K0/K1III,-1.362278,-30.763993,-23.24156,0.068
104394,104732,,21.215607,30.226916,43.8789,3.21,G8II SB,28.278409,-25.25354,22.089851,0.47
116361,116727,,23.65582,77.632276,14.1024,3.21,K1IV,3.008186,-0.271815,13.774751,0.492
74912,75141,,15.356201,-40.647518,271.0027,3.22,B1.5IV,-131.223518,-158.301112,-176.532145,-0.053
79640,79882,,16.305358,-4.692511,32.6371,3.23,G8III,-13.962311,-29.378579,-2.669978,0.984
89684,89962,,18.355167,-2.898825,18.5426,3.23,K0III-IV,1.719456,-18.438938,-0.937748,1.065
105691,106032,,21.477662,70.560716,210.084,3.23,B2IIIv SB,55.219515,-42.886719,198.108029,0.104
32521,32607,,6.803194,-61.941391,29.6033,3.24,A7IV,-2.906455,13.618019,-26.124095,0.34
99156,99473,,20.188413,-0.821461,87.7963,3.24,B9.5III,47.588681,-73.769106,-1.258706,1.04
36274,36377,,7.487179,-43.301432,59.3824,3.25,K5III SB,-16.404069,39.982094,-40.72716,1.144
68675,68895,,14.106193,-26.682361,30.9598,3.25,K2III,-23.563202,-14.492156,-13.902421,0.043
73486,73714,,15.067839,-25.281965,88.4173,3.25,M3/M4III,-55.51919,-57.527085,-37.760649,0.163
92902,93194,,18.982395,32.689557,190.1141,3.25,B9III,40.69872,-154.738921,102.67804,0.527
17637,17678,,3.787295,-74.238962,65.6168,3.26,M2III,9.756821,14.915528,-63.149939,0.958
3086,3092,,0.655462,30.861024,32.352,3.27,K3III...,27.363473,4.742224,16.595166,1.042
84711,84970,,17.366827,-24.999545,133.6898,3.27,B2IV,-19.992891,-119.503681,-56.498782,0.541
112776,113136,,22.910837,-15.82082,49.2368,3.27,A3V,45.459019,-13.325406,-13.423467,0.549
24249,24305,,5.215528,-16.205468,57.0125,3.29,B9IV: HgMn,11.164848,53.596933,-15.911275,0.253
49958,50099,,10.228961,-70.037903,104.8218,3.29,B8III,-32.00779,16.00439,-98.524026,1.11
75229,75458,,15.415494,58.966065,31.027,3.29,K2III,-10.015969,-12.471787,26.585776,0.248
21228,21281,,4.566598,-55.044975,51.7063,3.3,A0V:,10.857822,27.56288,-42.378779,1.058
51428,51576,,10.533743,-61.685332,148.1481,3.3,B4Vne,-65.154868,26.316211,-130.423268,0.413
29582,29655,,6.247961,22.506799,117.9245,3.31,M3III,-7.067151,108.713368,45.140745,1.67
85008,85267,,17.423239,-56.377727,341.2969,3.31,B1Ib,-28.42707,-186.83103,-284.199972,0.989
5154,5165,,1.101407,-46.718414,100000,3.32,G8IIIvar,65728.03719,19495.7741,-72799.31262,0.515
14318,14354,,3.08627,38.840274,94.3396,3.32,M3IIIvar,50.772204,53.119196,59.165375,0.284
59592,59774,Megrez,12.257086,57.032617,24.6853,3.32,A3Vvar,-13.402309,-0.903455,20.710384,0.527
83885,84143,,17.202552,-43.239189,22.5276,3.32,F3p,-3.401345,-16.05484,-15.432267,0.498
87775,88048,,17.983775,-9.773632,46.2107,3.32,K0III,-0.193436,-45.539708,-7.844563,0.408
93569,93864,,19.11567,-27.670423,37.2856,3.32,K1/K2III,9.508483,-31.623153,-17.31506,1.219
19730,19780,,4.240404,-62.473858,49.554,3.33,G7III,10.180685,20.514413,-43.944776,0.341
54718,54879,,11.237335,15.42957,50.6073,3.33,A2V,-47.814213,9.675761,13.464276,1.296
38062,38170,,7.821571,-24.859786,367.6471,3.34,G6Ia,-153.118527,296.362603,-154.558514,1.238
8867,8886,,1.906584,63.670101,126.2626,3.35,B2pvar,49.169644,26.806887,113.163436,0.963
25218,25281,,5.407949,-2.397146,299.4012,3.35,B1V + B2,46.180743,295.55322,-12.522729,1.086
32276,32362,,6.754824,12.895591,17.9986,3.35,F5IV,-3.444569,17.203451,4.0169,1.268
41586,41704,,8.504431,60.718169,54.9149,3.35,G4II-III,-16.37548,21.290022,47.898272,1.119
95207,95501,,19.424972,3.114775,15.5255,3.36,F0IV,5.650026,-14.436012,0.843584,0.042
75035,75264,,15.378021,-44.689622,156.9859,3.37,B2IV-V,-70.733584,-86.328198,-110.402888,0.88
